UserName,Password,deviceId,deviceType,deviceModel,deviceManufacture,deviceOsversion,deviceToken,appVersion
akankshatest@yopmail.com,Rishi@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
akhiltest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
rajnitest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
renutest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
alayatest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
meenutest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
swatitest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
Abctest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
rekhatest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
minaltest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
newtest@damcogroup.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
ravikatest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
deftest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
visheshtest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
manishtest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
Krishatest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
shtest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
lenovotest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
ntest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
nexgtest@gmail.com,Test@1234,7ea14bdea44361c0,1,sdk_gphone64_x86_64,Google,14,dhkKTlf6TkWtrj6EPMGh1V:APA91bEBiKA4suMmC9yB645Neo5_XKCguEkJlnrTPI2cTWZLh98txYUxplnwJJkzDPtTwDell8-asTBZxAM9WQEadwQ3ypLvS2GiJfoMimFQw3sCNctaEv0nvL7s1Y2iQo7XZeUKk-vh,2.09
